"HGNC_Symbol","hiPSC_Neuron","BloodmRNA","DISC1_RNA","gandalMicro","gandalRNAseq","hiPSC_NPC1","MtSinaiACC","MtSinaiDLPFC","MtSinaiMTA","MtSinaiTPA","Stanley","CommonMind_DLPFC","Deep_Neurons","Superficial_Neurons","Superficial_Deep_Neurons","Lewis_2017_L3","Lewis_2017_L5","Lewis_2015_L3","Lewis_2015_L5","barnesAll","barnesFemale","barnesMale","Iwamoto_BA10_SCZ","Iwamoto_BA46_SCZ","MaycoxAll","MaycoxFemale","MaycoxMale","PietersenAllParvalbumin","PietersenAllPyramidal","PietersenFemaleParvalbumin","PietersenFemalePyramidal","PietersenMaleParvalbumin","PietersenMalePyramidal"
"SNX13","0.04, p=0.41657","-0.16, p=0.5","-0.52, p=0.04487","0, p=0.82005","0, p=0.92046","0.06, p=0.30925","0.08, p=0.3868","0.02, p=0.85676","-0.03, p=0.80832","0.05, p=0.58088","0, p=0.74019","0, p=0.7525","0.11, p=0.22803","0.11, p=0.25073","0.23, p=0.11347","0.23, p=0.06305","-0.1, p=0.43278","-0.05, p=0.67812","-0.24, p=0.03194","-0.01, p=0.6348","-0.06, p=0.44223","0.04, p=0.46272","-0.67, p=0.04326","-0.05, p=0.57172","0.03, p=0.4961","0.05, p=0.6652","-0.03, p=0.62786","-0.12, p=0.6199","-0.05, p=0.52577","0.52, p=0.41011","0.11, p=0.45638","-0.77, p=0.25456","-0.25, p=0.38269"
"TICAM1","-0.22, p=0.41658","0.21, p=0.171",NA,"-0.03, p=0.06431","0, p=0.99435","-0.54, p=0.07205","0.43, p=0.0809","0.22, p=0.11234","0.07, p=0.74354","-0.16, p=0.34031","0.04, p=0.45502","0, p=0.8942","0, p=0.99899","0, p=0.95363","0, p=0.9674","0.17, p=0.34124","-0.13, p=0.4787","0.13, p=0.18347","0.16, p=0.11922","0.06, p=0.6557","0.16, p=0.56048","-0.02, p=0.88714","0.05, p=0.71478","0.29, p=0.13666","0.05, p=0.61007","0.08, p=0.60789","0.05, p=0.71343","-0.16, p=0.81902","0.46, p=0.47768","0.26, p=0.78522","0.66, p=0.4951","-0.58, p=0.61278","0.21, p=0.82835"
"SPEN","0.05, p=0.41979","-0.3, p=0.353","0.55, p=0.02617","0.04, p=0.04112","0.05, p=0.08445","0.07, p=0.30628","-0.7, p=0.01945","0.14, p=0.42971","0.26, p=0.19495","0.41, p=0.15613","0.02, p=0.37125","0, p=0.7401","0.08, p=0.33537","0.06, p=0.44411","0.14, p=0.24433","0.02, p=0.93777","-0.15, p=0.58904","0.44, p=0.02424","0.19, p=0.32282","-0.13, p=0.45057","0.06, p=0.30537","-0.28, p=0.50273","0.04, p=0.82435","0.12, p=0.19939","0.01, p=0.50449","0.04, p=0.55447","0.03, p=0.44537","-0.44, p=0.39405","0.48, p=0.32123","-0.25, p=0.44633","0.71, p=0.37782","-0.63, p=0.53365","0.18, p=0.36719"
"PSMG1","-0.09, p=0.42022","0.15, p=0.12","-0.96, p=0.0146","-0.03, p=0.24935","-0.08, p=0.00067","0.01, p=0.90401","0.3, p=0.13437","0.39, p=0.54491","-0.23, p=0.24225","-0.21, p=0.2546","-0.06, p=0.06875","-0.02, p=0.3311","0, p=0.98961","-0.01, p=0.93482","-0.01, p=0.94819","0.12, p=0.66829","-0.84, p=0.00581","-0.39, p=0.02843","-0.73, p=5e-05","0.08, p=0.59383","-0.16, p=0.48271","0.26, p=0.1767","0.02, p=0.93503","0, p=0.98602","-0.02, p=0.8527","-0.11, p=0.44058","0.02, p=0.85753","-0.42, p=0.53707","-0.26, p=0.68704","-0.31, p=0.60637","-0.33, p=0.73221","-0.53, p=0.60547","-0.18, p=0.75831"
"TSC22D3","-0.17, p=0.42254","-1.43, p=0.0148","0.11, p=0.64461","0.07, p=0.0057","0.02, p=0.53491","0.05, p=0.81695","0.44, p=0.13593","0.05, p=0.83598","-0.03, p=0.90258","0.09, p=0.75312","0, p=0.97431","0, p=0.8885",NA,NA,NA,"0, p=0.99843","0.06, p=0.78772","0.01, p=0.90032","0.12, p=0.13404","0.15, p=0.32186","0.23, p=0.36266","0.09, p=0.4183","0.08, p=0.36842","-0.21, p=0.08826","0.02, p=0.65978","-0.1, p=0.58443","0.13, p=0.33457","0.01, p=0.56824","0.32, p=0.51081","0.33, p=0.73164","0.65, p=0.39089","-0.31, p=0.44062","-0.08, p=0.62708"
"SDHB","-0.06, p=0.4242","-0.13, p=0.457","-0.21, p=0.39987","-0.07, p=0.00175","-0.04, p=0.08414","-0.11, p=0.18756","-0.14, p=0.30589","0.25, p=0.36907","0.19, p=0.09273","0.21, p=0.07302","-0.08, p=0.03466","0, p=0.8333","0.05, p=0.49519","0.06, p=0.43922","0.11, p=0.32505","-0.08, p=0.51408","-0.25, p=0.05327","-0.38, p=0.00052","-0.34, p=0.00201","-0.03, p=0.63569","-0.08, p=0.64625","0, p=0.60349","-0.1, p=0.42942","-0.1, p=0.4527","0.24, p=0.10722","0.24, p=0.28243","0.27, p=0.1666","-0.09, p=0.62735","-0.11, p=0.71068","0.13, p=0.68396","-0.32, p=0.72859","-0.31, p=0.50691","0.15, p=0.72634"
"TXNL4B","-0.09, p=0.42459","-0.01, p=0.969","0.33, p=0.49293","0.08, p=0.00013","0.03, p=0.47052","0.05, p=0.65879","-0.21, p=0.13616","-0.05, p=0.54812","-0.05, p=0.62763","0.04, p=0.79343","0.05, p=0.26655","-0.02, p=0.5171","0.08, p=0.36632","0.11, p=0.26","0.19, p=0.17058","0.7, p=0.04216","0.73, p=0.04367","0.24, p=0.21445","0.2, p=0.31098","0.11, p=0.28206","-0.01, p=0.50745","0.2, p=0.2017",NA,"0.09, p=0.23172","0.07, p=0.21136","0, p=0.69568","0.09, p=0.20546","0.45, p=0.29362","0.57, p=0.36482","0.5, p=0.20184","0.71, p=0.38329","0.4, p=0.68441","0.4, p=0.49469"
"NIPSNAP1","0.07, p=0.42469","-0.01, p=0.906","-0.38, p=0.06233","-0.02, p=0.18715","-0.02, p=0.65314","-0.08, p=0.35488","0.28, p=0.03107","0.03, p=0.86877","0.3, p=0.06429","0.47, p=0.00077","-0.01, p=0.79901","0.01, p=0.2899","0.06, p=0.53772","0.06, p=0.5583","0.12, p=0.41686","-0.31, p=0.02707","0.07, p=0.63868","0.03, p=0.73845","-0.02, p=0.8314","-0.06, p=0.6966","-0.14, p=0.5712","0.01, p=0.75149","-0.04, p=0.76329","-0.06, p=0.36617","-0.07, p=0.33103","-0.19, p=0.1066","-0.04, p=0.71118","-0.43, p=0.51421","0.11, p=0.8584","-0.2, p=0.79399","0.46, p=0.50387","-0.67, p=0.51441","-0.32, p=0.6514"
"ADAT1","0.06, p=0.4262","-0.14, p=0.612","0, p=0.98862","-0.03, p=0.23114","-0.02, p=0.36024","-0.05, p=0.51021","-0.17, p=0.52891","0.22, p=0.13216","0.81, p=0.00049","0.48, p=0.03946","-0.01, p=0.77418","-0.01, p=0.3175","-0.07, p=0.41799","-0.07, p=0.37427","-0.14, p=0.25141","0.37, p=0.13277","-0.14, p=0.58815","-0.1, p=0.61807","-0.22, p=0.25359","-0.04, p=0.6722","0.11, p=0.51116","-0.17, p=0.20614",NA,"0.13, p=0.37245","-0.03, p=0.62314","-0.12, p=0.34691","0.02, p=0.83241","-0.61, p=0.36642","-0.95, p=0.12508","-0.28, p=0.76916","-1.08, p=0.17462","-0.93, p=0.35863","-0.78, p=0.44493"
"RPIA","-0.09, p=0.42648","-0.59, p=0.0125","-0.17, p=0.55834","0, p=0.91968","0.03, p=0.19195","0.07, p=0.57863","-0.15, p=0.29571","0.91, p=0.35036","-0.27, p=0.01901","-0.17, p=0.27687","0.03, p=0.44675","0, p=0.9454","-0.02, p=0.87493","-0.02, p=0.81424","-0.04, p=0.78985","-0.05, p=0.86845","-0.52, p=0.11609","0.12, p=0.27789","0.01, p=0.95066","0.2, p=0.05917","0.26, p=0.14328","0.18, p=0.16031","-0.13, p=0.27267","0.04, p=0.61015","0.07, p=0.43008","0.24, p=0.164","0.02, p=0.87024","0.13, p=0.85895","-0.4, p=0.48046","0.91, p=0.41449","0.28, p=0.69739","-0.65, p=0.49995","-1.26, p=0.21398"
"PCCB","-0.06, p=0.42693","0.01, p=0.95","-0.74, p=0.00275","0, p=0.8928","-0.01, p=0.78444","-0.01, p=0.89744","-0.17, p=0.136","0.17, p=0.30288","0.3, p=0.02155","0.36, p=0.00097","-0.06, p=0.2089","0, p=0.8417","-0.06, p=0.4848","-0.07, p=0.43058","-0.12, p=0.31486","-0.15, p=0.52336","-0.06, p=0.79853","-0.52, p=0.00225","-0.41, p=0.01616","-0.12, p=0.21952","-0.06, p=0.68996","-0.16, p=0.20748","-0.12, p=0.39851","-0.08, p=0.40503","0.2, p=0.27646","0.33, p=0.20213","0.11, p=0.62076","-0.41, p=0.36792","-0.53, p=0.45131","-0.15, p=0.20741","-0.07, p=0.66722","-0.67, p=0.48745","-1.1, p=0.23047"
"SORBS3","-0.06, p=0.42912","-0.04, p=0.911","0.08, p=0.78553","0.03, p=0.10441","0.02, p=0.72895","0.07, p=0.42249","0, p=0.98964","-0.36, p=0.06742","-0.13, p=0.58669","-0.07, p=0.74659","0.04, p=0.12355","-0.03, p=0.2767","0.03, p=0.72934","0.04, p=0.67212","0.07, p=0.6021","-0.01, p=0.97305","0.04, p=0.85034","0.1, p=0.4777","0, p=0.99788","0.02, p=0.73233","-0.04, p=0.80195","0.09, p=0.47607","-0.18, p=0.1591","-0.02, p=0.87519","-0.05, p=0.67123","0, p=0.58246","-0.03, p=0.42139","-0.29, p=0.68742","-0.76, p=0.27742","-0.09, p=0.69849","-1.15, p=0.23195","-0.48, p=0.60825","-0.27, p=0.70661"
"CHEK1","0.14, p=0.42955","1.59, p=3e-05","0.56, p=0.06285","0.01, p=0.77253","0.02, p=0.58911","0.13, p=0.42609","0.45, p=0.04959","0.29, p=0.67576","-0.28, p=0.19339","-0.14, p=0.40955","0.01, p=0.60614","-0.04, p=0.08803","0.1, p=0.10355","0.11, p=0.09335","0.21, p=0.02708","-0.01, p=0.95852","0.05, p=0.83313","-0.02, p=0.8913","-0.11, p=0.47323","0.33, p=0.17609","0.52, p=0.19351","-0.01, p=0.38127","0.8, p=0.0737","-0.06, p=0.37489","-0.15, p=0.17834","-0.22, p=0.37412","-0.1, p=0.31598","0.35, p=0.60772","-1.15, p=0.07262","0.76, p=0.38489","-1.26, p=0.15957","-0.06, p=0.51738","-1, p=0.25775"
"CCDC86","-0.11, p=0.43248","-0.18, p=0.412","-0.29, p=0.3246","0, p=0.94131","0.01, p=0.7443","0.11, p=0.44408","-0.05, p=0.65102","0.37, p=0.27637","-0.15, p=0.18135","0.09, p=0.39959","0.01, p=0.50754","-0.01, p=0.8512","0.05, p=0.60506","0.03, p=0.76757","0.08, p=0.58405","0.06, p=0.77087","0.36, p=0.11023","0.02, p=0.91009","-0.01, p=0.9655","0, p=0.99185","-0.02, p=0.87867","0.01, p=0.92203","-0.18, p=0.61277","-0.05, p=0.47621","0.01, p=0.82081","0, p=0.99469","-0.01, p=0.93544","-0.47, p=0.47872","-0.31, p=0.60178","-0.92, p=0.39033","-0.31, p=0.70699","-0.03, p=0.97136","-0.3, p=0.75892"
"SQSTM1","-0.12, p=0.43411","-0.02, p=0.9","-0.59, p=0.02273","0.03, p=0.05161","0.02, p=0.36528","-0.04, p=0.78186","-0.11, p=0.17721","-0.06, p=0.58803","0.1, p=0.2055","-0.04, p=0.65278","-0.01, p=0.72934","0, p=0.8385","0.03, p=0.77042","0.01, p=0.87887","0.04, p=0.7648","-0.12, p=0.35757","-0.33, p=0.01557","-0.14, p=0.10276","-0.25, p=0.00375","-0.04, p=0.51365","-0.16, p=0.28382","0.06, p=0.54349","-0.13, p=0.29685","-0.22, p=0.37397","0.03, p=0.46923","0.08, p=0.52607","0.02, p=0.50006","-0.18, p=0.63668","0.08, p=0.39079","-0.04, p=0.64078","0.54, p=0.22244","-0.32, p=0.5802","-0.5, p=0.52432"
"BDH1","-0.14, p=0.43437","0.23, p=0.407","1.82, p=0.01397","0, p=0.9302","-0.03, p=0.16996","-0.06, p=0.74128","0.08, p=0.4309","-0.03, p=0.83064","0.08, p=0.51326","0.17, p=0.09731","-0.01, p=0.77472","0.01, p=0.3198","0, p=0.99933","0, p=0.96641","0, p=0.97643","-0.01, p=0.95108","-0.22, p=0.32762","-0.01, p=0.93902","-0.1, p=0.59312","0.27, p=0.2783","-0.18, p=0.56284","0.65, p=0.16844","-0.1, p=0.47623","0.15, p=0.07414","-0.11, p=0.50356","-0.19, p=0.40391","-0.07, p=0.4086","-0.47, p=0.4673","-0.48, p=0.43695","-0.88, p=0.37656","0.31, p=0.71568","-0.05, p=0.95877","-1.46, p=0.12651"
"ATG3","-0.06, p=0.43727","0.03, p=0.85","0.09, p=0.71211","-0.01, p=0.80043","-0.01, p=0.45107","-0.09, p=0.27499","-0.09, p=0.61242","0.45, p=0.13597","-0.02, p=0.93006","-0.21, p=0.41576",NA,"-0.01, p=0.6612","0.08, p=0.37144","0.07, p=0.45557","0.16, p=0.26904","0.09, p=0.68821","-0.29, p=0.21255","-0.23, p=0.0629","-0.24, p=0.05634","-0.15, p=0.04399","-0.14, p=0.30175","-0.16, p=0.09637",NA,"-0.12, p=0.63049","-0.05, p=0.59593","-0.1, p=0.49122","-0.01, p=0.83459","0.22, p=0.63587","0.09, p=0.52796","0.83, p=0.3889","0.12, p=0.71412","-0.39, p=0.65634","0.06, p=0.58052"
"HTRA1","0.24, p=0.4404",NA,"-2.4, p=0","0.14, p=5e-05","-0.02, p=0.51028","0.21, p=0.53206","-0.33, p=0.07664","0.14, p=0.47929","0.12, p=0.48708","-0.02, p=0.9143","0.03, p=0.65924","0.02, p=0.401","0.06, p=0.44743","0.06, p=0.48347","0.11, p=0.32429","0.19, p=0.43474","-0.52, p=0.04165","-0.03, p=0.8107","-0.16, p=0.28322","-0.11, p=0.39676","0.02, p=0.874","-0.2, p=0.29843","-0.1, p=0.53786","0.17, p=0.14384","0.1, p=0.2826","0.01, p=0.9147","0.21, p=0.1401","0.02, p=0.97663","0.48, p=0.40996","0.38, p=0.71638","1.05, p=0.19611","-0.34, p=0.7596","-0.23, p=0.81332"
"FAH","-0.13, p=0.44055","0.08, p=0.635","-1.92, p=1e-05","0.08, p=0.00473","0.09, p=0.27192","-0.31, p=0.08215","-0.22, p=0.3026","0.14, p=0.50077","0.3, p=0.15539","0.08, p=0.68542","0.01, p=0.83541","0.01, p=0.6979","0.03, p=0.7478","0.02, p=0.80341","0.05, p=0.7","0.03, p=0.70565","0.02, p=0.76479","-0.08, p=0.29414","-0.13, p=0.06894","0.11, p=0.71206","0.25, p=0.45364","-0.03, p=0.93604","0.32, p=0.34815","0.13, p=0.28536","0.06, p=0.55912","0.54, p=0.21486","-0.31, p=0.10944","0.35, p=0.55196","-0.43, p=0.51497","0.47, p=0.65438","-0.29, p=0.66017","0.22, p=0.70142","-0.6, p=0.55655"
"ABCB6","-0.11, p=0.4448","-0.96, p=0.00025","0.55, p=0.02912","-0.01, p=0.41164","0.04, p=0.18013","-0.16, p=0.29265","0.25, p=0.05187","0, p=0.99821","0.16, p=0.15527","0.26, p=0.01866","0, p=0.84687","-0.01, p=0.4773",NA,NA,NA,"-0.07, p=0.75062","-0.69, p=0.00345","-0.26, p=0.05826","-0.34, p=0.01651","-0.5, p=0.58812","-2.09, p=0.13127","0.27, p=0.78552","0.19, p=0.44775","-0.06, p=0.61806","0.1, p=0.36277","0.25, p=0.23175","-0.01, p=0.65817","0.1, p=0.3511","0.02, p=0.69988","-0.27, p=0.58242","0.03, p=0.66515","0.47, p=0.45997","0, p=0.95031"
"LSM5","-0.06, p=0.44509","-0.03, p=0.897","-0.55, p=0.22124","0.03, p=0.22083","0.02, p=0.33166","0.03, p=0.67374","0.16, p=0.28261","0.38, p=0.37849","-0.48, p=0.00759","-0.1, p=0.47621","-0.01, p=0.60995","0.02, p=0.1601","0.05, p=0.86428","0.09, p=0.77683","0.13, p=0.75742","-0.23, p=0.37723","-0.49, p=0.07395","-0.68, p=4e-05","-0.79, p=0","-0.12, p=0.2897","-0.04, p=0.78395","-0.19, p=0.24573","0.33, p=0.12458","0.06, p=0.42198","-0.1, p=0.22218","-0.09, p=0.50559","-0.13, p=0.29855","-0.62, p=0.06236","0.23, p=0.72324","-0.23, p=0.12107","0.35, p=0.66805","-1.02, p=0.26217","0.06, p=0.51458"
"NIT1","-0.05, p=0.44624","0.03, p=0.877","-0.51, p=0.03429","-0.05, p=0.00074","0, p=0.84719","-0.01, p=0.83706","-0.08, p=0.44909","-0.16, p=0.11069","0.15, p=0.09825","0.01, p=0.92394","0.04, p=0.33408","-0.01, p=0.3268","0.07, p=0.43869","0.08, p=0.3732","0.15, p=0.26063","-0.45, p=0.09984","-0.09, p=0.753","-0.28, p=0.03885","-0.32, p=0.0227","-0.16, p=0.38178","-0.01, p=0.40323","-0.26, p=0.47795","-0.1, p=0.4892","-0.07, p=0.3003","-0.24, p=0.1836","-0.28, p=0.18985","-0.27, p=0.34148","-0.28, p=0.5027","-0.11, p=0.86879","0.58, p=0.47978","0.28, p=0.70105","-1.15, p=0.27315","-0.59, p=0.52246"
"GAA","0.09, p=0.44689","-0.1, p=0.728","-0.22, p=0.36803","0.01, p=0.66855","0.03, p=0.08513","0.07, p=0.55967","-0.27, p=0.1031","-0.15, p=0.31672","0.12, p=0.49847","-0.12, p=0.43874","0.06, p=0.31796","0.02, p=0.3068","0, p=0.97302","0.01, p=0.87014","0.02, p=0.89256","0.03, p=0.86159","0.02, p=0.92319","-0.04, p=0.48761","0.04, p=0.45392","-0.11, p=0.19453","-0.24, p=0.12953","-0.01, p=0.93577","-0.01, p=0.96147","0.06, p=0.51839","-0.02, p=0.70767","0.08, p=0.46521","-0.07, p=0.42062","-0.03, p=0.96728","-0.02, p=0.97729","-0.25, p=0.80838","0.16, p=0.8395","0.2, p=0.82971","-0.23, p=0.81368"
"STAT5B","0.07, p=0.44848","-0.32, p=0.204","0.17, p=0.37413","0.02, p=0.1884","0.01, p=0.40517","0.05, p=0.60242","0.31, p=0.12021","-0.15, p=0.4314","-0.23, p=0.25604","-0.04, p=0.80388","0.01, p=0.61024","0, p=0.809","0.03, p=0.67154","0.04, p=0.61578","0.07, p=0.53055","0.4, p=0.02211","0.1, p=0.58101","0.01, p=0.92257","-0.05, p=0.56056","0.32, p=0.15483","0.54, p=0.16118","0.12, p=0.30862","-0.26, p=0.26423","-0.06, p=0.31188","0.04, p=0.43831","0.09, p=0.43846","-0.04, p=0.47624","-0.25, p=0.35017","-0.11, p=0.57561","-0.16, p=0.51481","0.56, p=0.36358","-0.33, p=0.48595","-0.96, p=0.20406"
"EIF4G1","-0.07, p=0.45021","0.74, p=0.00103","0.16, p=0.51671","0.01, p=0.40285","0.01, p=0.48414","-0.03, p=0.77863","-0.56, p=0.03526","0.34, p=0.05816","0.87, p=0.00229","0.98, p=0.00236","0.06, p=0.0935","-0.02, p=0.05091","-0.04, p=0.4902","-0.05, p=0.41729","-0.09, p=0.31007","0.21, p=0.37772","0.1, p=0.68118","-0.05, p=0.63768","0.12, p=0.31829","-0.01, p=0.65149","0, p=0.40049","-0.02, p=0.76931","-0.17, p=0.14969","0.02, p=0.21274","0, p=0.91212","-0.01, p=0.45289","0, p=0.71871","-0.13, p=0.59281","0.2, p=0.51654","0.13, p=0.7695","1.09, p=0.15902","-0.38, p=0.57276","-0.91, p=0.31709"
"SKIV2L","-0.06, p=0.45023",NA,"-0.05, p=0.79153","-0.02, p=0.12855","0, p=0.87559","-0.04, p=0.63234","0.03, p=0.7617","0, p=0.99278","-0.01, p=0.96482","0.02, p=0.87943","-0.03, p=0.56524","0, p=0.8248","-0.04, p=0.6933","0.08, p=0.87646","-0.08, p=0.57439","0.14, p=0.28048","-0.3, p=0.02463","-0.14, p=0.04129","-0.07, p=0.31181","-0.12, p=0.12332","-0.2, p=0.11425","-0.05, p=0.5777","-0.11, p=0.41995","-0.06, p=0.35992","0.05, p=0.56988","0.17, p=0.29204","-0.03, p=0.77843","-0.3, p=0.64755","0.19, p=0.74452","-0.44, p=0.66177","0.03, p=0.97232","-0.16, p=0.86549","0.4, p=0.68893"
"NCAPD2","0.11, p=0.45186","-0.25, p=0.0737","0.2, p=0.30739","0.04, p=0.08079","0.02, p=0.53554","0.08, p=0.58488","-0.29, p=0.19156","0.8, p=0.39792","-0.06, p=0.78323","-0.06, p=0.7456","-0.01, p=0.84419","-0.02, p=0.1805","-0.02, p=0.75946","-0.02, p=0.83974","-0.04, p=0.7316","-0.1, p=0.47995","-0.1, p=0.48787","0.16, p=0.3319","0.21, p=0.21734","0.13, p=0.40918","0.21, p=0.37897","0.06, p=0.79646","0.63, p=0.06101","0.11, p=0.24276","-0.04, p=0.6602","-0.13, p=0.40834","0.03, p=0.82024","0.41, p=0.51309","-0.78, p=0.28613","0.68, p=0.52562","-0.96, p=0.28522","-0.29, p=0.77149","-0.54, p=0.61828"
"BECN1","-0.05, p=0.45267","0.01, p=0.949","0.03, p=0.87773","-0.03, p=0.25236","-0.05, p=0.00555","-0.04, p=0.5038","0, p=0.986","0.11, p=0.33192","0.11, p=0.2935","0.2, p=0.08601","-0.12, p=0.01742","0, p=0.9477","-0.02, p=0.81897","-0.02, p=0.85201","-0.04, p=0.77889","-0.22, p=0.01554","-0.24, p=0.01384","0.01, p=0.91563","-0.15, p=0.06939","-0.14, p=0.57662","0.03, p=0.5259","-0.54, p=0.42854","-0.16, p=0.10548","-0.1, p=0.27402","0.02, p=0.33743","0.08, p=0.49225","-0.02, p=0.46461","-0.35, p=0.31885","0.61, p=0.30399","-0.17, p=0.4015","0.7, p=0.4472","-0.54, p=0.1046","0.5, p=0.41791"
"ARHGAP1","-0.09, p=0.45394",NA,"0.41, p=0.06539","0.03, p=0.10585","0.03, p=0.28122","-0.07, p=0.55314","-0.25, p=0.04092","-0.12, p=0.27191","-0.14, p=0.25778","-0.3, p=0.00082","0.01, p=0.74144","-0.02, p=0.252","-0.02, p=0.8622","-0.04, p=0.74989","-0.06, p=0.73766","0.06, p=0.82111","0.19, p=0.52919","0.05, p=0.74751","0.27, p=0.11567","-0.08, p=0.6276","-0.05, p=0.86294","-0.2, p=0.53367","-0.16, p=0.09484","-0.01, p=0.41138","-0.09, p=0.5181","-0.25, p=0.33753","0.01, p=0.55898","0.11, p=0.59306","-0.01, p=0.18679","0.49, p=0.63043","0.1, p=0.3853","-0.27, p=0.44801","-0.15, p=0.34907"
"FSD1","-0.06, p=0.454",NA,"0.28, p=0.15168","-0.11, p=0","-0.05, p=0.01715","-0.04, p=0.60452","0.1, p=0.46909","-0.07, p=0.38469","0.27, p=0.08327","0.11, p=0.48023","-0.07, p=0.17003","0.01, p=0.678","-0.01, p=0.85915","-0.02, p=0.75159","-0.03, p=0.73687","0.13, p=0.49239","0.09, p=0.63411","0.07, p=0.63627","0.15, p=0.28545","-0.08, p=0.37676","-0.14, p=0.38639","-0.02, p=0.82323",NA,"-0.09, p=0.45577","-0.05, p=0.44183","0.04, p=0.73589","-0.09, p=0.33134","-0.32, p=0.684","0.14, p=0.81339","-0.98, p=0.43284","0.32, p=0.70166","0.34, p=0.71156","-0.07, p=0.94083"
"HSPA4","-0.05, p=0.45467","0.12, p=0.63","-0.22, p=0.27946","-0.04, p=0.05527","-0.02, p=0.59412","0.01, p=0.93331","-0.04, p=0.86915","0.28, p=0.11887","0.2, p=0.31429","0.29, p=0.21571","-0.03, p=0.2075","-0.01, p=0.6582","0.1, p=0.29081","0.11, p=0.22235","0.21, p=0.12504","0.01, p=0.9409","0.02, p=0.83116","0, p=0.96686","-0.03, p=0.67275","-0.1, p=0.44675","-0.18, p=0.3397","-0.04, p=0.74362","-0.22, p=0.15135","-0.05, p=0.48601","0.05, p=0.51063","0.02, p=0.4572","0.04, p=0.63781","-0.37, p=0.4103","-0.24, p=0.49753","-0.06, p=0.66559","-0.54, p=0.5221","-0.67, p=0.36699","0.13, p=0.50445"
"CEP57","0.07, p=0.45564","0.03, p=0.885","0.34, p=0.22935","0.03, p=0.06659","0.02, p=0.63977","-0.01, p=0.94499","-0.6, p=0.01232","0.3, p=0.07279","0.58, p=0.01397","0.5, p=0.007","0.01, p=0.6914","-0.01, p=0.4179","0.07, p=0.3051","0.08, p=0.24848","0.15, p=0.14184","0.92, p=0.00445","-0.33, p=0.33381","0.06, p=0.76299","-0.13, p=0.52263","0.07, p=0.3911","-0.01, p=0.44506","0.14, p=0.29376","-0.09, p=0.66064","0.16, p=0.17071","0.02, p=0.46829","-0.01, p=0.51197","0.05, p=0.49441","-0.43, p=0.34439","-0.58, p=0.40705","-0.35, p=0.36373","0.23, p=0.66688","-0.51, p=0.61014","-1.6, p=0.08182"
"PAFAH1B3","-0.08, p=0.45833","0.07, p=0.62","0.35, p=0.41225","-0.03, p=0.13694","-0.01, p=0.65121","-0.09, p=0.34643","0.28, p=0.06418","0.21, p=0.35938","0.06, p=0.63914","0.15, p=0.11157","-0.03, p=0.54588","0.01, p=0.7473","0.02, p=0.82671","0.02, p=0.824","0.04, p=0.76509","0.02, p=0.86031","-0.03, p=0.78734","-0.16, p=0.08552","-0.04, p=0.66704","0.54, p=0.22146","0.63, p=0.37206","0.4, p=0.40443","-0.15, p=0.29548","0.03, p=0.8042","0.16, p=0.19329","0.48, p=0.01409","-0.08, p=0.66655","0.18, p=0.83852","1.08, p=0.099","1.16, p=0.31481","1.14, p=0.2028","-0.79, p=0.53848","1, p=0.30883"
"GNPDA1","0.15, p=0.4595","0.01, p=0.926","0.16, p=0.47556","-0.03, p=0.12918","-0.01, p=0.46304","0.19, p=0.34926","0.07, p=0.32649","-0.14, p=0.28723","0.24, p=0.00417","0.14, p=0.02059","-0.08, p=0.21234","-0.01, p=0.2877","-0.02, p=0.83757","-0.02, p=0.82164","-0.04, p=0.77058","-0.04, p=0.74904","-0.03, p=0.83789","0.09, p=0.38562","0.21, p=0.04628","0.05, p=0.50974","-0.03, p=0.77148","0.1, p=0.28987","0.09, p=0.32837","0.01, p=0.88347","0.04, p=0.43096","0.08, p=0.42761","0.02, p=0.80736","0.03, p=0.96842","0.87, p=0.2306","0.56, p=0.58424","0.85, p=0.41553","-0.51, p=0.63227","0.9, p=0.37309"
"PARP1","0.09, p=0.45982","-0.31, p=0.0575","0.24, p=0.2255","0, p=0.89479","0, p=0.80535","0.05, p=0.68449","-0.07, p=0.51439","0.39, p=0.4042","-0.02, p=0.86523","0, p=0.94239","-0.04, p=0.36075","0.01, p=0.3726","0.04, p=0.71006","0.04, p=0.72738","0.08, p=0.6261","-0.11, p=0.1544","-0.05, p=0.49703","-0.15, p=0.0455","-0.07, p=0.32014","-0.13, p=0.01673","-0.15, p=0.13291","-0.1, p=0.16188","-0.15, p=0.3442","-0.07, p=0.23803","-0.03, p=0.48799","0.02, p=0.78611","-0.09, p=0.22308","0.21, p=0.71771","-0.04, p=0.94019","0.37, p=0.69253","0.17, p=0.84039","0.06, p=0.94991","-0.31, p=0.75075"
